refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
R206	RES1016-635X229____0.6W.fp	1500	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
R205	RES1016-635X229____0.6W.fp	1500	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
D206	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
D205	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
p3	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p4	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p1	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
p2	PIN165X102____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J202	CON-SIL-254P-31N____.fp	unknown	Fisher	PFH 173638000	Conrad	735000	4.13	unknown	unknown	unknown	
R207	RES1016-635X229____0.6W.fp	270k	Beyschlag	MBB 0207-50 270k	Conrad	418544	0.19	unknown	unknown	unknown	
LB201	CON-HDR-254P-2C-1R-2N____.fp	neon	unknown	unknown	Conrad	725200	1.09	unknown	unknown	unknown	
R204	RES1016-635X229____0.6W.fp	1k	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
R203	RES1016-635X229____0.6W.fp	1k	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
D204	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
D203	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
R202	RES1016-635X229____0.6W.fp	680	Beyschlag	MBB 0207-50 680	Conrad	418234	0.19	unknown	unknown	unknown	
R201	RES1016-635X229____0.6W.fp	680	Beyschlag	MBB 0207-50 680	Conrad	418234	0.19	unknown	unknown	unknown	
D202	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
D201	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
J201	CON-DIN41617-31N_Assmann_A-31-L2_DIN41617_female.fp	unknown	Assmann	A-31-L2	Conrad	740608	2.26	doc/740608.pdf	unknown	unknown	
TP201	CON-TP_Keystone_5000_compact_red.fp	red	Keystone	5000	unknown	unknown	unknown	unknown	unknown	unknown	
