refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
R206	RES1016-635X229____0.6W.fp	1500	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
R205	RES1016-635X229____0.6W.fp	1500	Beyschlag	MBB 0207-50 1k2	Conrad	418269	0.19	unknown	unknown	unknown	
D206	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
D205	LED254-500_Temic_TLLG5400__green.fp	green	Temic	unknown	Conrad	186929	0.34	unknown	unknown	unknown	
F328	unknown	200 mA	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
F327	unknown	200 mA	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R207	unknown	270k/0.6W	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
LB201	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R204	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R203	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D204	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D203	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R202	unknown	680	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R201	unknown	680	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D202	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D201	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
P301	CON-DIN41617-31N_Assmann_A-31-S1_DIN41617_male.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J201	CON-DIN41617-31N_Assmann_A-31-L2_DIN41617_female.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J331	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J330	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J329	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J326	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J325	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J324	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J323	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J322	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J321	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J320	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J319	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J318	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J317	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J316	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J315	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J314	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J313	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J312	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J311	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J310	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J309	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J308	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J307	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J306	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J305	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J304	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J303	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J302	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP201	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
TP301	CON-TP_Keystone_5000_compact_red.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J301	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
